date,load_AT,load_BE,load_FRA,load_GER,load_NL
2019-01-17 08:00:00,9527,12424,78650,70912.75,17603.5
2019-01-17 09:00:00,9586,12628.5,78300,71171.5,18392.75
2019-01-17 10:00:00,9627,12596.25,77850,72168.25,18656.5
2019-01-17 11:00:00,9630,12659.5,77450,73062,18573.5
2019-01-17 12:00:00,9456,12419.25,76950,72565.75,18271.75
2019-01-17 13:00:00,9397,12445.5,76450,72067,18159.5
2019-01-17 14:00:00,9323,12404.75,74600,71051.75,18290.5
2019-01-17 15:00:00,9334,12443.75,72250,70522.75,18359.25
2019-01-17 16:00:00,9522,12536.75,71100,70565,18595.5
2019-01-17 17:00:00,9738,13088.75,72400,72826,19282.75
2019-01-17 18:00:00,9569,13188.75,77400,72913,18152
2019-01-17 19:00:00,9063,12571.75,79350,71184.25,17303
2019-01-17 20:00:00,8497,11895.5,76050,67398,16534.25
2019-01-17 21:00:00,7899,11319.5,72150,64074.5,15571.75
2019-01-17 22:00:00,7709,11348.25,70450,61634.5,14452.25
2019-01-17 23:00:00,7210,11250,73400,57476,13634
2019-01-18 00:00:00,6817,10356,69250,55446.75,12633.75
2019-01-18 01:00:00,6565,9956.25,66550,53400.25,12118.75
2019-01-18 02:00:00,6446,9644,66000,52614.25,11794.75
2019-01-18 03:00:00,6329,9457.5,63850,52704.25,11623.25
2019-01-18 04:00:00,6496,9436.5,62500,53992.5,11641
2019-01-18 05:00:00,7158,9847,64150,56546.5,12086.5
2019-01-18 06:00:00,8241,10953.5,69050,63161.5,13204
2019-01-18 07:00:00,9209,11899.25,76650,68175.25,15078.25
2019-01-18 08:00:00,9512,12274.25,80450,69853.25,16793.75
2019-01-18 09:00:00,9577,12322,80550,70239,17605.5
2019-01-18 10:00:00,9613,12288.25,80200,70734.75,17769.25
2019-01-18 11:00:00,9595,12216.75,79950,71549,17749.5
2019-01-18 12:00:00,9415,12030.75,79550,70512,17613.5
2019-01-18 13:00:00,9339,12061.5,78750,69693,17496.75
2019-01-18 14:00:00,9258,11902.5,76150,68567.5,17362.25
2019-01-18 15:00:00,9266,11808.75,73250,68156,17300.25
2019-01-18 16:00:00,9457,11572.25,71750,68373.5,17411.75
